10541A0224,R10207,ENVIRONMENTAL STUDIES,13,20,0
10541A0349,R10202,MATHEMATICS- II,14,10,0
10541A1228,R10203,ENGINEERING PHYSICS -II,7,0,0
10541A1228,R10204,ENGINEERING CHEMISTRY -II,12,30,2
10541A1228,R10206,MATHEMATICAL METHODS,9,-1,0
11541A0317,R10205,ENGINEERING DRAWING,17,-1,0
11541A0518,R10203,ENGINEERING PHYSICS -II,13,18,0
11541A0518,R10204,ENGINEERING CHEMISTRY -II,7,32,0
12541A0204,R10202,MATHEMATICS- II,6,0,0
12541A0204,R10203,ENGINEERING PHYSICS -II,9,31,2
12541A0204,R10205,ENGINEERING DRAWING,13,44,2
12541A0304,R10202,MATHEMATICS- II,19,32,2
12541A0304,R10203,ENGINEERING PHYSICS -II,14,7,0
12541A0306,R13202,MATHEMATICS-III,10,6,0
12541A0306,R13203,ENGG. PHYSICS,15,12,0
12541A0309,R10202,MATHEMATICS- II,14,8,0
12541A0309,R10205,ENGINEERING DRAWING,13,40,2
12541A0424,R10202,MATHEMATICS- II,14,31,2
13541A0306,R13202,MATHEMATICS-III,15,10,0
13541A0306,R13209,ENGG. DRAWING,22,-1,0
13541A0310,R13203,ENGG. PHYSICS,24,-1,0
13541A0317,R13209,ENGG. DRAWING,27,29,3
13541A0334,R13203,ENGG. PHYSICS,17,8,0
13541A0340,R13202,MATHEMATICS-III,17,22,0
13541A0340,R13209,ENGG. DRAWING,16,24,3
13541A0410,R13204,ENGG. CHEMISTRY,20,57,3
13541A0413,R13210,ENGG. MECHANICS,21,10,0
13541A0421,R13211,NETWORK ANALYSIS,28,0,0
13541A0430,R13211,NETWORK ANALYSIS,23,20,0
13541A0436,R13204,ENGG. CHEMISTRY,25,51,3
13541A0436,R13210,ENGG. MECHANICS,23,17,0
13541A0436,R13211,NETWORK ANALYSIS,23,0,0
13541A0501,R13203,ENGG. PHYSICS,23,13,0
13541A0508,R13209,ENGG. DRAWING,16,11,0
14541A0203,R13205,C PROGRAMMING,20,10,0
14541A0206,R13204,ENGG. CHEMISTRY,7,-1,0
14541A0206,R13205,C PROGRAMMING,21,10,0
14541A0216,R13204,ENGG. CHEMISTRY,12,-1,0
14541A0216,R13205,C PROGRAMMING,12,0,0
14541A0219,R13204,ENGG. CHEMISTRY,10,51,3
14541A0219,R13205,C PROGRAMMING,20,10,0
14541A0219,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,10,19,0
14541A0222,R13204,ENGG. CHEMISTRY,11,-1,0
14541A0223,R13210,ENGG. MECHANICS,18,7,0
14541A0223,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,15,17,0
14541A0226,R13204,ENGG. CHEMISTRY,9,-1,0
14541A0226,R13210,ENGG. MECHANICS,16,11,0
14541A0226,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,17,-1,0
14541A0229,R13210,ENGG. MECHANICS,24,20,0
14541A0235,R13202,MATHEMATICS-III,12,12,0
14541A0235,R13204,ENGG. CHEMISTRY,10,50,3
14541A0235,R13205,C PROGRAMMING,11,8,0
14541A0236,R13205,C PROGRAMMING,21,16,0
14541A0239,R13210,ENGG. MECHANICS,22,44,3
14541A0240,R13204,ENGG. CHEMISTRY,10,58,3
14541A0240,R13205,C PROGRAMMING,16,0,0
14541A0304,R13209,ENGG. DRAWING,24,-1,0
14541A0305,R13203,ENGG. PHYSICS,14,8,0
14541A0309,R13203,ENGG. PHYSICS,15,21,0
14541A0310,R13203,ENGG. PHYSICS,15,11,0
14541A0313,R13203,ENGG. PHYSICS,11,16,0
14541A0317,R13202,MATHEMATICS-III,12,0,0
14541A0317,R13203,ENGG. PHYSICS,11,0,0
14541A0317,R13207,MATHEMATICS-II (MM),9,-1,0
14541A0317,R13209,ENGG. DRAWING,20,0,0
14541A0318,R13202,MATHEMATICS-III,13,32,3
14541A0318,R13203,ENGG. PHYSICS,19,24,3
14541A0323,R13203,ENGG. PHYSICS,14,22,0
14541A0328,R13203,ENGG. PHYSICS,11,10,0
14541A0328,R13207,MATHEMATICS-II (MM),13,28,3
14541A0328,R13209,ENGG. DRAWING,23,22,0
14541A0330,R13202,MATHEMATICS-III,14,14,0
14541A0330,R13209,ENGG. DRAWING,18,23,0
14541A0332,R13203,ENGG. PHYSICS,17,13,0
14541A0333,R13203,ENGG. PHYSICS,8,9,0
14541A0342,R13202,MATHEMATICS-III,14,8,0
14541A0342,R13209,ENGG. DRAWING,28,23,0
14541A0347,R13202,MATHEMATICS-III,12,8,0
14541A0347,R13203,ENGG. PHYSICS,14,0,0
14541A0347,R13209,ENGG. DRAWING,21,17,0
14541A0359,R13201,ENGLISH-II,19,31,3
14541A0359,R13209,ENGG. DRAWING,26,17,0
14541A0360,R13203,ENGG. PHYSICS,11,14,0
14541A0361,R13202,MATHEMATICS-III,12,0,0
14541A0361,R13203,ENGG. PHYSICS,12,0,0
14541A0361,R13207,MATHEMATICS-II (MM),10,6,0
14541A0361,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,9,33,3
14541A0363,R13203,ENGG. PHYSICS,16,0,0
14541A0364,R13202,MATHEMATICS-III,15,13,0
14541A0365,R13203,ENGG. PHYSICS,9,18,0
14541A0365,R13209,ENGG. DRAWING,24,22,0
14541A0370,R13203,ENGG. PHYSICS,11,10,0
14541A0370,R13209,ENGG. DRAWING,19,14,0
14541A0378,R13202,MATHEMATICS-III,11,8,0
14541A0378,R13203,ENGG. PHYSICS,14,-1,0
14541A0378,R13207,MATHEMATICS-II (MM),13,0,0
14541A0378,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,16,-1,0
14541A0378,R13209,ENGG. DRAWING,23,-1,0
14541A0382,R13202,MATHEMATICS-III,10,6,0
14541A0382,R13207,MATHEMATICS-II (MM),11,-1,0
14541A0382,R13209,ENGG. DRAWING,18,-1,0
14541A0382,R13214,ENGINEERING PHYSICS LAB,0,35,2
14541A0382,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,0,41,2
14541A0383,R13202,MATHEMATICS-III,13,13,0
14541A0388,R13203,ENGG. PHYSICS,17,7,0
14541A0388,R13209,ENGG. DRAWING,27,-1,0
14541A0390,R13202,MATHEMATICS-III,12,7,0
14541A0390,R13203,ENGG. PHYSICS,17,-1,0
14541A0390,R13207,MATHEMATICS-II (MM),14,28,3
14541A0390,R13209,ENGG. DRAWING,22,-1,0
14541A0394,R13202,MATHEMATICS-III,12,17,0
14541A0394,R13207,MATHEMATICS-II (MM),15,20,0
14541A0394,R13209,ENGG. DRAWING,17,18,0
14541A0403,R13202,MATHEMATICS-III,17,6,0
14541A0403,R13210,ENGG. MECHANICS,21,13,0
14541A0410,R13202,MATHEMATICS-III,16,17,0
14541A0410,R13211,NETWORK ANALYSIS,23,12,0
14541A0412,R13204,ENGG. CHEMISTRY,19,42,3
14541A0412,R13211,NETWORK ANALYSIS,24,15,0
14541A0416,R13211,NETWORK ANALYSIS,19,7,0
14541A0417,R13204,ENGG. CHEMISTRY,9,24,0
14541A0417,R13210,ENGG. MECHANICS,18,30,3
14541A0417,R13211,NETWORK ANALYSIS,19,0,0
14541A0420,R13211,NETWORK ANALYSIS,21,-1,0
14541A0421,R13204,ENGG. CHEMISTRY,13,-1,0
14541A0425,R13210,ENGG. MECHANICS,21,30,3
14541A0433,R13202,MATHEMATICS-III,17,17,0
14541A0434,R13202,MATHEMATICS-III,15,11,0
14541A0434,R13204,ENGG. CHEMISTRY,12,39,3
14541A0434,R13210,ENGG. MECHANICS,22,19,0
14541A0434,R13211,NETWORK ANALYSIS,23,7,0
14541A0435,R13204,ENGG. CHEMISTRY,8,16,0
14541A0435,R13205,C PROGRAMMING,20,11,0
14541A0435,R13210,ENGG. MECHANICS,21,14,0
14541A0435,R13211,NETWORK ANALYSIS,21,19,0
14541A0437,R13204,ENGG. CHEMISTRY,9,35,3
14541A0440,R13202,MATHEMATICS-III,16,13,0
14541A0440,R13210,ENGG. MECHANICS,19,0,0
14541A0440,R13211,NETWORK ANALYSIS,24,16,0
14541A0442,R13202,MATHEMATICS-III,15,11,0
14541A0446,R13205,C PROGRAMMING,5,15,0
14541A0446,R13211,NETWORK ANALYSIS,17,8,0
14541A0446,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,0,47,2
14541A0446,R13217,ENGINEERING CHEMISTRY LAB,24,48,2
14541A0446,R13218,C PROGRAMMING LAB,0,45,2
14541A0456,R13202,MATHEMATICS-III,14,18,0
14541A0456,R13204,ENGG. CHEMISTRY,16,46,3
14541A0459,R13210,ENGG. MECHANICS,20,29,3
14541A0459,R13211,NETWORK ANALYSIS,23,0,0
14541A0463,R13210,ENGG. MECHANICS,15,7,0
14541A0463,R13211,NETWORK ANALYSIS,24,29,3
14541A0476,R13204,ENGG. CHEMISTRY,13,18,0
14541A0476,R13211,NETWORK ANALYSIS,22,38,3
14541A0482,R13204,ENGG. CHEMISTRY,15,9,0
14541A0501,R13202,MATHEMATICS-III,14,36,3
14541A0505,R13203,ENGG. PHYSICS,18,22,0
14541A0506,R13202,MATHEMATICS-III,13,31,3
14541A0506,R13207,MATHEMATICS-II (MM),14,28,3
14541A0510,R13202,MATHEMATICS-III,15,25,3
14541A0510,R13203,ENGG. PHYSICS,13,11,0
14541A0510,R13207,MATHEMATICS-II (MM),13,33,3
14541A0517,R13203,ENGG. PHYSICS,16,12,0
14541A0517,R13209,ENGG. DRAWING,27,11,0
14541A0526,R13202,MATHEMATICS-III,13,-1,0
14541A0526,R13209,ENGG. DRAWING,21,14,0
14541A0529,R13203,ENGG. PHYSICS,16,18,0
14541A0533,R13203,ENGG. PHYSICS,11,0,0
14541A0534,R13209,ENGG. DRAWING,29,18,0
14541A0541,R13202,MATHEMATICS-III,15,18,0
14541A0541,R13203,ENGG. PHYSICS,19,21,0
14541A0545,R13203,ENGG. PHYSICS,19,6,0
14541A0547,R13203,ENGG. PHYSICS,5,9,0
14541A0549,R13202,MATHEMATICS-III,17,20,0
15541A0201,R13205,C PROGRAMMING,21,-1,0
15541A0201,R13210,ENGG. MECHANICS,22,-1,0
15541A0201,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,-1,0
15541A0207,R13204,ENGG. CHEMISTRY,25,49,3
15541A0207,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,25,13,0
15541A0209,R13204,ENGG. CHEMISTRY,22,18,0
15541A0209,R13205,C PROGRAMMING,25,0,0
15541A0211,R13204,ENGG. CHEMISTRY,24,35,3
15541A0211,R13210,ENGG. MECHANICS,28,24,3
15541A0211,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,13,0
15541A0212,R13202,MATHEMATICS-III,16,0,0
15541A0212,R13204,ENGG. CHEMISTRY,18,-1,0
15541A0212,R13205,C PROGRAMMING,21,0,0
15541A0219,R13205,C PROGRAMMING,21,-1,0
15541A0220,R13205,C PROGRAMMING,24,13,0
15541A0222,R13204,ENGG. CHEMISTRY,23,53,3
15541A0226,R13204,ENGG. CHEMISTRY,17,44,3
15541A0229,R13204,ENGG. CHEMISTRY,25,58,3
15541A0229,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,30,12,0
15541A0232,R13210,ENGG. MECHANICS,21,9,0
15541A0233,R13202,MATHEMATICS-III,16,0,0
15541A0233,R13205,C PROGRAMMING,20,-1,0
15541A0234,R13204,ENGG. CHEMISTRY,16,25,3
15541A0234,R13210,ENGG. MECHANICS,20,7,0
15541A0234,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,6,0
15541A0237,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,24,20,0
15541A0239,R13204,ENGG. CHEMISTRY,14,29,3
15541A0239,R13205,C PROGRAMMING,27,0,0
15541A0241,R13202,MATHEMATICS-III,14,-1,0
15541A0241,R13204,ENGG. CHEMISTRY,14,37,3
15541A0243,R13205,C PROGRAMMING,22,8,0
15541A0244,R13205,C PROGRAMMING,26,-1,0
15541A0244,R13210,ENGG. MECHANICS,24,-1,0
15541A0245,R13204,ENGG. CHEMISTRY,19,40,3
15541A0245,R13205,C PROGRAMMING,20,0,0
15541A0245,R13210,ENGG. MECHANICS,22,29,3
15541A0248,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,23,14,0
15541A0250,R13202,MATHEMATICS-III,16,0,0
15541A0250,R13204,ENGG. CHEMISTRY,17,56,3
15541A0250,R13205,C PROGRAMMING,22,0,0
15541A0251,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,20,30,3
15541A0254,R13204,ENGG. CHEMISTRY,20,41,3
15541A0254,R13205,C PROGRAMMING,24,14,0
15541A0256,R13201,ENGLISH-II,22,38,3
15541A0256,R13210,ENGG. MECHANICS,17,17,0
15541A0256,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,25,10,0
15541A0257,R13202,MATHEMATICS-III,21,6,0
15541A0257,R13210,ENGG. MECHANICS,26,-1,0
15541A0257,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,-1,0
15541A0312,R13203,ENGG. PHYSICS,18,12,0
15541A0315,R13202,MATHEMATICS-III,23,10,0
15541A0315,R13203,ENGG. PHYSICS,16,7,0
15541A0315,R13209,ENGG. DRAWING,28,37,3
15541A0317,R13203,ENGG. PHYSICS,18,7,0
15541A0329,R13201,ENGLISH-II,22,27,3
15541A0329,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,18,7,0
15541A0329,R13209,ENGG. DRAWING,25,30,3
15541A0331,R13201,ENGLISH-II,19,33,3
15541A0331,R13202,MATHEMATICS-III,16,7,0
15541A0331,R13203,ENGG. PHYSICS,17,0,0
15541A0331,R13207,MATHEMATICS-II (MM),14,6,0
15541A0331,R13209,ENGG. DRAWING,20,30,3
15541A0333,R13201,ENGLISH-II,20,45,3
15541A0333,R13203,ENGG. PHYSICS,16,0,0
15541A0333,R13207,MATHEMATICS-II (MM),16,0,0
15541A0342,R13201,ENGLISH-II,0,-1,0
15541A0342,R13202,MATHEMATICS-III,0,-1,0
15541A0342,R13203,ENGG. PHYSICS,0,-1,0
15541A0342,R13207,MATHEMATICS-II (MM),0,-1,0
15541A0342,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,0,-1,0
15541A0342,R13209,ENGG. DRAWING,20,-1,0
15541A0342,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,15,47,2
15541A0342,R13214,ENGINEERING PHYSICS LAB,15,37,2
15541A0342,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,15,41,2
15541A0343,R13202,MATHEMATICS-III,16,-1,0
15541A0343,R13207,MATHEMATICS-II (MM),16,28,3
15541A0343,R13209,ENGG. DRAWING,30,-1,0
15541A0349,R13202,MATHEMATICS-III,21,6,0
15541A0349,R13207,MATHEMATICS-II (MM),15,17,0
15541A0355,R13203,ENGG. PHYSICS,19,7,0
15541A0356,R13202,MATHEMATICS-III,18,13,0
15541A0356,R13203,ENGG. PHYSICS,16,9,0
15541A0356,R13209,ENGG. DRAWING,29,31,3
15541A0357,R13202,MATHEMATICS-III,16,9,0
15541A0357,R13207,MATHEMATICS-II (MM),14,16,0
15541A0357,R13209,ENGG. DRAWING,21,14,0
15541A0359,R13203,ENGG. PHYSICS,21,-1,0
15541A0362,R13203,ENGG. PHYSICS,14,0,0
15541A0363,R13207,MATHEMATICS-II (MM),17,30,3
15541A0363,R13209,ENGG. DRAWING,27,40,3
15541A0364,R13203,ENGG. PHYSICS,15,-1,0
15541A0364,R13207,MATHEMATICS-II (MM),15,-1,0
15541A0364,R13209,ENGG. DRAWING,20,-1,0
15541A0365,R13202,MATHEMATICS-III,20,0,0
15541A0365,R13207,MATHEMATICS-II (MM),15,5,0
15541A0365,R13209,ENGG. DRAWING,20,32,3
15541A0375,R13203,ENGG. PHYSICS,14,15,0
15541A0380,R13203,ENGG. PHYSICS,12,0,0
15541A0380,R13207,MATHEMATICS-II (MM),14,7,0
15541A0380,R13209,ENGG. DRAWING,24,-1,0
15541A0384,R13201,ENGLISH-II,25,34,3
15541A0384,R13203,ENGG. PHYSICS,15,9,0
15541A0384,R13207,MATHEMATICS-II (MM),14,0,0
15541A0387,R13201,ENGLISH-II,28,40,3
15541A0393,R13203,ENGG. PHYSICS,13,0,0
15541A0393,R13207,MATHEMATICS-II (MM),14,0,0
15541A0393,R13209,ENGG. DRAWING,22,-1,0
15541A0409,R13211,NETWORK ANALYSIS,26,23,0
15541A0411,R13204,ENGG. CHEMISTRY,14,22,0
15541A0411,R13210,ENGG. MECHANICS,20,0,0
15541A0411,R13211,NETWORK ANALYSIS,23,9,0
15541A0412,R13205,C PROGRAMMING,23,11,0
15541A0412,R13211,NETWORK ANALYSIS,18,14,0
15541A0413,R13204,ENGG. CHEMISTRY,18,24,3
15541A0413,R13210,ENGG. MECHANICS,21,36,3
15541A0413,R13211,NETWORK ANALYSIS,22,-1,0
15541A0427,R13204,ENGG. CHEMISTRY,18,13,0
15541A0427,R13211,NETWORK ANALYSIS,22,0,0
15541A0428,R13210,ENGG. MECHANICS,28,41,3
15541A0446,R13204,ENGG. CHEMISTRY,19,23,0
15541A0446,R13205,C PROGRAMMING,26,12,0
15541A0446,R13211,NETWORK ANALYSIS,18,12,0
15541A0447,R13204,ENGG. CHEMISTRY,23,39,3
15541A0451,R13211,NETWORK ANALYSIS,26,11,0
15541A0455,R13205,C PROGRAMMING,27,15,0
15541A0457,R13204,ENGG. CHEMISTRY,19,32,3
15541A0457,R13205,C PROGRAMMING,21,9,0
15541A0457,R13210,ENGG. MECHANICS,23,9,0
15541A0457,R13211,NETWORK ANALYSIS,18,9,0
15541A0460,R13204,ENGG. CHEMISTRY,20,31,3
15541A0464,R13204,ENGG. CHEMISTRY,24,38,3
15541A0465,R13210,ENGG. MECHANICS,29,11,0
15541A0465,R13211,NETWORK ANALYSIS,24,21,0
15541A0466,R13204,ENGG. CHEMISTRY,23,-1,0
15541A0469,R13205,C PROGRAMMING,27,-1,0
15541A0469,R13210,ENGG. MECHANICS,25,-1,0
15541A0474,R13211,NETWORK ANALYSIS,20,18,0
15541A0476,R13202,MATHEMATICS-III,16,19,0
15541A0476,R13205,C PROGRAMMING,23,6,0
15541A0476,R13211,NETWORK ANALYSIS,20,6,0
15541A0478,R13204,ENGG. CHEMISTRY,18,34,3
15541A0478,R13205,C PROGRAMMING,19,6,0
15541A0478,R13210,ENGG. MECHANICS,19,11,0
15541A0480,R13202,MATHEMATICS-III,17,17,0
15541A0480,R13204,ENGG. CHEMISTRY,18,44,3
15541A0480,R13205,C PROGRAMMING,16,6,0
15541A0483,R13205,C PROGRAMMING,26,6,0
15541A0483,R13210,ENGG. MECHANICS,21,0,0
15541A0486,R13202,MATHEMATICS-III,17,10,0
15541A0486,R13204,ENGG. CHEMISTRY,19,46,3
15541A0486,R13205,C PROGRAMMING,19,0,0
15541A0491,R13204,ENGG. CHEMISTRY,16,33,3
15541A0491,R13205,C PROGRAMMING,16,0,0
15541A0505,R13201,ENGLISH-II,27,44,3
15541A0507,R13202,MATHEMATICS-III,17,23,0
15541A0510,R13201,ENGLISH-II,22,39,3
15541A0510,R13202,MATHEMATICS-III,13,13,0
15541A0510,R13203,ENGG. PHYSICS,13,0,0
15541A0510,R13207,MATHEMATICS-II (MM),15,12,0
15541A0510,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,20,31,3
15541A0510,R13209,ENGG. DRAWING,28,0,0
15541A0510,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,15,36,2
15541A0510,R13214,ENGINEERING PHYSICS LAB,20,35,2
15541A0510,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,15,42,2
15541A0517,R13203,ENGG. PHYSICS,17,8,0
15541A0519,R13202,MATHEMATICS-III,25,30,3
15541A0523,R13203,ENGG. PHYSICS,16,15,0
15541A0549,R13202,MATHEMATICS-III,17,29,3
15541A0559,R13201,ENGLISH-II,21,41,3
15541A0559,R13207,MATHEMATICS-II (MM),15,8,0
15541A0560,R13203,ENGG. PHYSICS,12,9,0
15541A0562,R13203,ENGG. PHYSICS,12,21,0
15541A0564,R13207,MATHEMATICS-II (MM),14,30,3
15541A0564,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,16,7,0
15541A0564,R13209,ENGG. DRAWING,28,0,0
15541A0567,R13207,MATHEMATICS-II (MM),14,18,0
15541A0570,R13202,MATHEMATICS-III,16,9,0
15541A0570,R13203,ENGG. PHYSICS,15,0,0
15541A0572,R13202,MATHEMATICS-III,16,10,0
15541A0572,R13207,MATHEMATICS-II (MM),16,28,3
15541A0572,R13209,ENGG. DRAWING,20,9,0
15541A0573,R13202,MATHEMATICS-III,16,11,0
15541A0573,R13203,ENGG. PHYSICS,12,0,0
15541A0573,R13209,ENGG. DRAWING,20,0,0
15541A0574,R13202,MATHEMATICS-III,16,0,0
15541A0574,R13203,ENGG. PHYSICS,17,0,0
15541A0579,R13203,ENGG. PHYSICS,14,12,0
15541A0582,R13202,MATHEMATICS-III,17,7,0
15541A0582,R13207,MATHEMATICS-II (MM),16,28,3
