10541A0224,R22026,CONTROL SYSTEMS,15,-1,0
10541A1228,R22123,AUTOMATA THEORY & COMPILER DESIGN,11,36,4
11481A05D3,R22053,DATA BASE MANAGEMENT SYSTEMS,18,-1,0
11541A0212,R22021,PULSE & DIGITAL CIRCUITS,7,6,0
11541A0212,R22023,SWITCHING THEORY & LOGIC DESIGN,10,15,0
11541A0365,R22033,THERMAL ENGINEERING -I,13,45,4
12541A0205,R22026,CONTROL SYSTEMS,11,-1,0
12541A0205,R22029,ELECTRICAL CIRCUIT ANALYSIS-II,12,-1,0
12541A0405,R22021,PULSE & DIGITAL CIRCUITS,15,-1,0
13541A0306,RT22031,KINEMATICS OF MACHINERY,18,13,0
13541A0315,RT22031,KINEMATICS OF MACHINERY,20,13,0
13545A0414,R22021,PULSE & DIGITAL CIRCUITS,21,56,4
13545A0414,R22026,CONTROL SYSTEMS,14,42,4
13545A0414,R22041,ANALOG COMMUNICATIONS,20,37,4
13545A0414,R22042,EMWTL,17,8,0
13545A0414,R22043,ELECTRONIC CIRCUIT ANALYSIS,18,34,4
14541A0210,RT22025,ELECTRICAL MACHINES-II,19,12,0
14541A0210,RT22026,CONTROL SYSTEMS,24,22,0
14541A0214,RT22023,PULSE & DIGITAL CIRCUITS,20,22,0
14541A0214,RT22026,CONTROL SYSTEMS,29,14,0
14541A0218,RT22025,ELECTRICAL MACHINES-II,21,28,3
14541A0303,RT22031,KINEMATICS OF MACHINERY,20,34,3
14541A0303,RT22035,MACHINE DRAWING,20,28,3
14541A0305,RT22031,KINEMATICS OF MACHINERY,18,28,3
14541A0305,RT22033,PRODUCTION TECHNOLOGY,21,12,0
14541A0313,RT22031,KINEMATICS OF MACHINERY,19,33,3
14541A0317,RT22031,KINEMATICS OF MACHINERY,9,-1,0
14541A0325,RT22031,KINEMATICS OF MACHINERY,15,32,3
14541A0326,RT22031,KINEMATICS OF MACHINERY,13,15,0
14541A0332,RT22031,KINEMATICS OF MACHINERY,18,37,3
14541A0335,RT22032,THERMAL ENGINEERING -I,25,16,0
14541A0336,RT22031,KINEMATICS OF MACHINERY,25,38,3
14541A0338,RT22033,PRODUCTION TECHNOLOGY,21,11,0
14541A0345,RT22031,KINEMATICS OF MACHINERY,16,44,3
14541A0349,RT22031,KINEMATICS OF MACHINERY,13,31,3
14541A0349,RT22032,THERMAL ENGINEERING -I,18,9,0
14541A0349,RT22033,PRODUCTION TECHNOLOGY,17,6,0
14541A0349,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,11,7,0
14541A0349,RT22035,MACHINE DRAWING,24,0,0
14541A0355,RT22031,KINEMATICS OF MACHINERY,11,44,3
14541A0359,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,10,21,0
14541A0361,RT22031,KINEMATICS OF MACHINERY,11,9,0
14541A0361,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,12,7,0
14541A0364,RT22031,KINEMATICS OF MACHINERY,14,33,3
14541A0369,RT22031,KINEMATICS OF MACHINERY,17,44,3
14541A0369,RT22033,PRODUCTION TECHNOLOGY,20,12,0
14541A0371,RT22031,KINEMATICS OF MACHINERY,19,35,3
14541A0375,RT22031,KINEMATICS OF MACHINERY,15,32,3
14541A0378,RT22031,KINEMATICS OF MACHINERY,11,32,3
14541A0379,RT22031,KINEMATICS OF MACHINERY,13,28,3
14541A0379,RT22032,THERMAL ENGINEERING -I,20,9,0
14541A0379,RT22033,PRODUCTION TECHNOLOGY,20,8,0
14541A0379,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,19,0
14541A0382,RT22031,KINEMATICS OF MACHINERY,16,17,0
14541A0383,RT22031,KINEMATICS OF MACHINERY,10,22,0
14541A0383,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,12,23,0
14541A0386,RT22031,KINEMATICS OF MACHINERY,18,28,3
14541A0388,RT22031,KINEMATICS OF MACHINERY,15,28,3
14541A0388,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,20,0
14541A0390,RT22031,KINEMATICS OF MACHINERY,18,32,3
14541A0390,RT22035,MACHINE DRAWING,24,-1,0
14541A0401,RT22044,EM WAVES AND TRANSMISSION LINES,21,12,0
14541A0401,RT22045,ANALOG COMMUNICATIONS,17,17,0
14541A0405,RT22022,SWITCHING THEORY AND LOGIC DESIGN,15,15,0
14541A0405,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,20,13,0
14541A0405,RT22043,MANAGEMENT SCIENCE,17,19,0
14541A0405,RT22044,EM WAVES AND TRANSMISSION LINES,18,8,0
14541A0416,RT22044,EM WAVES AND TRANSMISSION LINES,30,14,0
14541A0417,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,29,12,0
14541A0421,RT22041,ELECTRONIC CIRCUIT ANALYSIS,24,0,0
14541A0425,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,27,16,0
14541A0425,RT22044,EM WAVES AND TRANSMISSION LINES,20,13,0
14541A0429,RT22044,EM WAVES AND TRANSMISSION LINES,20,0,0
14541A0433,RT22022,SWITCHING THEORY AND LOGIC DESIGN,19,29,3
14541A0433,RT22045,ANALOG COMMUNICATIONS,17,37,3
14541A0434,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,27,15,0
14541A0434,RT22045,ANALOG COMMUNICATIONS,29,17,0
14541A0435,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,18,23,0
14541A0435,RT22043,MANAGEMENT SCIENCE,18,14,0
14541A0435,RT22044,EM WAVES AND TRANSMISSION LINES,21,20,0
14541A0437,RT22044,EM WAVES AND TRANSMISSION LINES,21,0,0
14541A0440,RT22041,ELECTRONIC CIRCUIT ANALYSIS,19,8,0
14541A0440,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,13,6,0
14541A0440,RT22045,ANALOG COMMUNICATIONS,25,12,0
14541A0442,RT22022,SWITCHING THEORY AND LOGIC DESIGN,14,29,3
14541A0442,RT22041,ELECTRONIC CIRCUIT ANALYSIS,21,8,0
14541A0446,RT22044,EM WAVES AND TRANSMISSION LINES,12,19,0
14541A0447,RT22022,SWITCHING THEORY AND LOGIC DESIGN,16,11,0
14541A0447,RT22041,ELECTRONIC CIRCUIT ANALYSIS,13,0,0
14541A0447,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,19,9,0
14541A0447,RT22045,ANALOG COMMUNICATIONS,22,14,0
14541A0456,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,9,0
14541A0456,RT22045,ANALOG COMMUNICATIONS,22,19,0
14541A0460,RT22045,ANALOG COMMUNICATIONS,30,37,3
14541A0463,RT22044,EM WAVES AND TRANSMISSION LINES,19,0,0
14541A0466,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,-1,0
14541A0466,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,19,-1,0
14541A0466,RT22044,EM WAVES AND TRANSMISSION LINES,18,-1,0
14541A0470,RT22022,SWITCHING THEORY AND LOGIC DESIGN,18,16,0
14541A0470,RT22041,ELECTRONIC CIRCUIT ANALYSIS,20,11,0
14541A0470,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,24,9,0
14541A0470,RT22044,EM WAVES AND TRANSMISSION LINES,16,0,0
14541A0472,RT22045,ANALOG COMMUNICATIONS,22,29,3
14541A0473,RT22045,ANALOG COMMUNICATIONS,18,17,0
14541A0482,RT22044,EM WAVES AND TRANSMISSION LINES,23,12,0
14541A0506,RT22052,JAVA PROGRAMMING,16,12,0
14541A0506,RT22054,COMPUTER ORGANIZATION,17,29,3
14541A0512,RT22053,ADVANCED DATA STRUCTURES,27,31,3
14541A0525,RT22051,PROBABILITY AND STATISTICS,16,8,0
14541A0525,RT22052,JAVA PROGRAMMING,0,13,0
14541A0525,RT22053,ADVANCED DATA STRUCTURES,0,30,0
14541A0525,RT22054,COMPUTER ORGANIZATION,0,29,0
14541A0525,RT22055,FORMAL LANGUAGES AND AUTOMATA THEORY,0,0,0
14541A0525,RT22056,ADVANCED DATA STRUCTURES LAB,15,47,2
14541A0525,RT22057,JAVA PROGRAMMING LAB,15,45,2
14541A0525,RT22058,FREE OPEN SOURCE SOFTWARE(FOSS) LAB,15,45,2
14541A0529,RT22051,PROBABILITY AND STATISTICS,19,17,0
14545A0201,RT22026,CONTROL SYSTEMS,21,28,3
14545A0215,RT22026,CONTROL SYSTEMS,22,0,0
14545A0305,RT22031,KINEMATICS OF MACHINERY,23,28,3
14545A0401,RT22041,ELECTRONIC CIRCUIT ANALYSIS,17,5,0
14545A0401,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,19,23,0
14545A0401,RT22044,EM WAVES AND TRANSMISSION LINES,17,0,0
14545A0403,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,19,22,0
14545A0403,RT22044,EM WAVES AND TRANSMISSION LINES,18,18,0
14545A0407,RT22022,SWITCHING THEORY AND LOGIC DESIGN,14,14,0
14545A0407,RT22041,ELECTRONIC CIRCUIT ANALYSIS,12,15,0
14545A0407,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,14,21,0
14545A0407,RT22044,EM WAVES AND TRANSMISSION LINES,15,10,0
14545A0409,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,11,0
14545A0409,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,20,20,0
14545A0409,RT22044,EM WAVES AND TRANSMISSION LINES,17,11,0
14545A0409,RT22045,ANALOG COMMUNICATIONS,18,19,0
14545A0410,RT22044,EM WAVES AND TRANSMISSION LINES,20,7,0
14545A0412,RT22044,EM WAVES AND TRANSMISSION LINES,16,10,0
14545A0415,RT22044,EM WAVES AND TRANSMISSION LINES,20,0,0
14545A0417,RT22044,EM WAVES AND TRANSMISSION LINES,19,12,0
147E5A0306,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,8,0
14PA1A0262,RT22022,SWITCHING THEORY AND LOGIC DESIGN,16,0,0
14PA1A0262,RT22025,ELECTRICAL MACHINES-II,22,6,0
14PA1A0262,RT22026,CONTROL SYSTEMS,27,6,0
14PA1A0262,RT22027,ELECTRICAL MACHINES -I LAB,12,45,2
14PA1A0262,RT22028,ELECTRONIC DEVICES & CIRCUITS LAB,12,48,2
15541A0204,RT22025,ELECTRICAL MACHINES-II,23,-1,0
15541A0204,RT22026,CONTROL SYSTEMS,22,-1,0
15541A0206,RT22023,PULSE & DIGITAL CIRCUITS,26,29,3
15541A0206,RT22024,POWER SYSTEMS-I,24,29,3
15541A0208,RT22026,CONTROL SYSTEMS,20,16,0
15541A0209,RT22025,ELECTRICAL MACHINES-II,26,44,3
15541A0230,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,15,0
15541A0230,RT22025,ELECTRICAL MACHINES-II,23,27,3
15541A0234,RT22022,SWITCHING THEORY AND LOGIC DESIGN,16,13,0
15541A0239,RT22025,ELECTRICAL MACHINES-II,27,24,3
15541A0241,RT22023,PULSE & DIGITAL CIRCUITS,15,16,0
15541A0241,RT22025,ELECTRICAL MACHINES-II,18,3,0
15541A0242,RT22022,SWITCHING THEORY AND LOGIC DESIGN,16,0,0
15541A0242,RT22023,PULSE & DIGITAL CIRCUITS,14,15,0
15541A0242,RT22025,ELECTRICAL MACHINES-II,22,10,0
15541A0242,RT22026,CONTROL SYSTEMS,25,13,0
15541A0243,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,7,0
15541A0244,RT22025,ELECTRICAL MACHINES-II,23,30,3
15541A0257,RT22025,ELECTRICAL MACHINES-II,22,18,0
15541A0310,RT22031,KINEMATICS OF MACHINERY,17,20,0
15541A0310,RT22032,THERMAL ENGINEERING -I,16,12,0
15541A0310,RT22033,PRODUCTION TECHNOLOGY,17,21,0
15541A0310,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,13,13,0
15541A0310,RT22035,MACHINE DRAWING,24,19,0
15541A0314,RT22031,KINEMATICS OF MACHINERY,22,30,3
15541A0314,RT22032,THERMAL ENGINEERING -I,17,9,0
15541A0314,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,15,14,0
15541A0314,RT22035,MACHINE DRAWING,27,29,3
15541A0317,RT22031,KINEMATICS OF MACHINERY,21,28,3
15541A0319,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,23,31,3
15541A0322,RT22031,KINEMATICS OF MACHINERY,22,33,3
15541A0325,RT22031,KINEMATICS OF MACHINERY,25,28,3
15541A0327,RT22033,PRODUCTION TECHNOLOGY,20,19,0
15541A0329,RT22031,KINEMATICS OF MACHINERY,19,28,3
15541A0329,RT22032,THERMAL ENGINEERING -I,18,0,0
15541A0329,RT22033,PRODUCTION TECHNOLOGY,18,28,3
15541A0331,RT22031,KINEMATICS OF MACHINERY,13,5,0
15541A0331,RT22032,THERMAL ENGINEERING -I,16,7,0
15541A0331,RT22033,PRODUCTION TECHNOLOGY,16,0,0
15541A0331,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,11,11,0
15541A0331,RT22035,MACHINE DRAWING,22,10,0
15541A0333,RT22031,KINEMATICS OF MACHINERY,15,31,3
15541A0333,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,13,29,3
15541A0333,RT22035,MACHINE DRAWING,21,9,0
15541A0337,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,20,37,3
15541A0338,RT22035,MACHINE DRAWING,20,31,3
15541A0339,RT22035,MACHINE DRAWING,23,12,0
15541A0345,RT22031,KINEMATICS OF MACHINERY,24,37,3
15541A0347,RT22031,KINEMATICS OF MACHINERY,16,24,3
15541A0347,RT22033,PRODUCTION TECHNOLOGY,16,0,0
15541A0347,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,9,12,0
15541A0348,RT22031,KINEMATICS OF MACHINERY,26,41,3
15541A0351,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,22,0
15541A0351,RT22035,MACHINE DRAWING,25,20,0
15541A0353,RT22031,KINEMATICS OF MACHINERY,16,30,3
15541A0353,RT22033,PRODUCTION TECHNOLOGY,5,18,0
15541A0353,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,5,22,0
15541A0355,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,21,34,3
15541A0357,RT22031,KINEMATICS OF MACHINERY,16,33,3
15541A0357,RT22035,MACHINE DRAWING,24,-1,0
15541A0358,RT22031,KINEMATICS OF MACHINERY,16,28,3
15541A0358,RT22032,THERMAL ENGINEERING -I,17,6,0
15541A0358,RT22033,PRODUCTION TECHNOLOGY,21,7,0
15541A0358,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,10,32,3
15541A0358,RT22035,MACHINE DRAWING,24,10,0
15541A0362,RT22033,PRODUCTION TECHNOLOGY,19,20,0
15541A0362,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,15,10,0
15541A0363,RT22035,MACHINE DRAWING,26,20,0
15541A0364,RT22033,PRODUCTION TECHNOLOGY,17,38,3
15541A0364,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,10,18,0
15541A0365,RT22031,KINEMATICS OF MACHINERY,19,28,3
15541A0365,RT22032,THERMAL ENGINEERING -I,20,14,0
15541A0365,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,29,3
15541A0369,RT22031,KINEMATICS OF MACHINERY,14,12,0
15541A0369,RT22032,THERMAL ENGINEERING -I,16,7,0
15541A0369,RT22033,PRODUCTION TECHNOLOGY,17,0,0
15541A0369,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,13,0
15541A0369,RT22035,MACHINE DRAWING,25,0,0
15541A0370,RT22031,KINEMATICS OF MACHINERY,20,12,0
15541A0370,RT22032,THERMAL ENGINEERING -I,22,0,0
15541A0370,RT22033,PRODUCTION TECHNOLOGY,21,28,3
15541A0371,RT22031,KINEMATICS OF MACHINERY,22,28,3
15541A0371,RT22033,PRODUCTION TECHNOLOGY,19,0,0
15541A0371,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,14,19,0
15541A0372,RT22031,KINEMATICS OF MACHINERY,17,25,3
15541A0372,RT22033,PRODUCTION TECHNOLOGY,16,8,0
15541A0373,RT22031,KINEMATICS OF MACHINERY,23,28,3
15541A0374,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,19,29,3
